"Aggregate Demand","The sum of government spending, personal consumption expenditures, and business expenditures."
"Appreciation","A currency is said to ‘appreciate ‘ when it strengthens in price in response to market demand."
"Arbitrage","The purchase or sale of an instrument and simultaneous taking of an equal and opposite position in a related market, in order to take advantage of small price differentials between markets."
"Around","Dealer jargon used in quoting when the forward premium/discount is near parity. For example, “two-two around” would translate into 2 points to either side of the present spot."
"Ask Rate","The rate at which a financial instrument if offered for sale (as in bid/ask spread)."
"Asset Allocation","Investment practice that divides funds among different markets to achieve diversification for risk management purposes and/or expected returns consistent with an investor’s objectives."
"Back Office","The departments and processes related to the settlement of financial transactions."
"Balance of Trade","The value of a country’s exports minus its imports."
"Bar Charts","Standard bar charts are commonly used to convey price activity into an easily readable chart. Usually four elements make up a bar chart, the Open, High, Low, and Close for the trading session/time period. A price bar can represent any time frame the user wishes, from 1 minute to 1 month. The total vertical length/height of the bar represents the entire trading range for the period. The top of the bar represents the highest price of the period, and the bottom of the bar represents the lowest price of the period. The Open is represented by a small dash to the left of the bar, and the Close for the session is a small dash to the right of the bar."
"Base Currency","In general terms, the base currency is the currency in which an investor or issuer maintains its book of accounts. In the FX markets, the US Dollar is normally considered the ‘base’ currency for quotes, meaning that quotes are expressed as a unit of $1 USD per the other currency quoted in the pair. The primary exceptions to this rule are the British Pound, the Euro and the Australian Dollar."
"Bear Market","A market distinguished by declining prices."
"Bid Rate","The rate at which a trader is willing to buy a currency."
"Bid/Ask Spread","The difference between the bid and offer price, and the most widely used measure of market liquidity."
"Big Figure","Dealer expression referring to the first few digits of an exchange rate. These digits rarely change in normal market fluctuations, and therefore are omitted in dealer quotes, especially in times of high market activity. For example, a USD/Yen rate might be 107.30/107.35, but would be quoted verbally without the first three digits i.e. “30/35”."
"Book","In a professional trading environment, a ‘book’ is the summary of a trader’s or desk’s total positions."
"Broker","An individual or firm that acts as an intermediary, putting together buyers and sellers for a fee or commission. In contrast, a ‘dealer’ commits capital and takes one side of a position, hoping to earn a spread (profit) by closing out the position in a subsequent trade with another party."
"Bretton Woods Agreement of 1944","An agreement that established fixed foreign exchange rates for major currencies, provided for central bank intervention in the currency markets, and pegged the price of gold at US $35 per ounce. The agreement lasted until 1971, when President Nixon overturned the Bretton Woods agreement and established a floating exchange rate for the major currencies."
"Bull Market","A market distinguished by rising prices."
"Bundesbank","Germany’s Central Bank."
"Buying/Selling","In the forex market currencies are always priced in pairs; therefore all trades result in the simultaneous buying of one currency and the selling of another. The objective of currency trading is to buy the currency that increases in value relative to the one you sold. If you have bought a currency and the price appreciates in value, then you must sell the currency back in order to lock in the profit."
"Cable","Trader jargon referring to the Sterling/US Dollar exchange rate. So called because the rate was originally transmitted via a transatlantic cable beginning in the mid 1800’s."
"Candlestick Chart","A chart that indicates the trading range for the day as well as the opening and closing price. If the open price is higher than the close price, the rectangle between the open and close price is shaded. If the close price is higher than the open price, that area of the chart is not shaded."
"Central Bank","A government or quasi-governmental organization that manages a country’s monetary policy. For example, the US central bank is the Federal Reserve, and the German central bank is the Bundesbank. others include the ECB, BOE, BOJ."
"Chartist","An individual who uses charts and graphs and interprets historical data to find trends and predict future movements. Also referred to as Technical Trader."
"Choice Market","A market with no spread. All trades buys and sells occur at that one price"
"Clearing","The process of settling a trade."
"Contagion","The tendency of an economic crisis to spread from one market to another. In 1997, political instability in Indonesia caused high volatility in their domestic currency, the Rupiah. From there, the contagion spread to other Asian emerging currencies, and then to Latin America, and is now referred to as the ‘Asian Contagion’."
"Collateral","Something given to secure a loan or as a guarantee of performance."
"Commission","A transaction fee charged by a broker."
"Contagion","The tendency of an economic crisis to spread from one market to another. In 1997, financial instability in Thailand caused high volatility in its domestic currency, the Baht, which triggered a contagion into other East Asian emerging currencies, and then to Latin America. It is now referred to as the Asian Contagion"
"Confirmation","A document exchanged by counterparts to a transaction that states the terms of said transaction."
"Contract","The standard unit of trading."
"Contract (Unit or Lot)","The standard unit of trading on certain exchanges."
"Counterparty","One of the participants in a financial transaction."
